Player,2PA,3PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,2P%,3P%,eFG%,FT%,TS%
Giannis,11.6,1.2,5.2,1.4,6.3,4.1,1.2,1.4,2.5,3.3,17,0.537,0.195,0.513,0.727,0.56
Anthony Davis,17.4,0.2,6.8,2.5,7.7,2.2,1.5,2.9,1.4,2.1,24.3,0.54,0.083,0.536,0.805,0.591
Jrue Holiday,12.8,3,3,1.1,3,7.7,1.5,0.4,3.6,2.1,17,0.446,0.368,0.466,0.752,0.496
Andre Drummond,14.4,0.1,8,5.4,10.9,0.9,1.6,1.5,2.1,3.4,18.2,0.53,0.333,0.53,0.361,0.506
Damian Lillard,9.7,7,4.9,0.6,4,6.2,1.2,0.3,2.7,2,21.2,0.5,0.343,0.506,0.864,0.56
Stephen Curry,9.5,11.8,5.6,0.9,4.8,7,2.3,0.2,3.4,2.1,31.9,0.576,0.45,0.631,0.902,0.672
Kristaps,11.3,1.4,4.2,2.3,6.9,1.6,0.9,2.4,2.1,3.6,18.1,0.454,0.333,0.467,0.838,0.518
Karl Towns,8.2,0.4,3.8,3.2,8.5,2.1,0.8,1.9,2.5,3.4,20.7,0.564,0.338,0.56,0.825,0.597
Klay Thompson,10.1,8.9,3.2,0.5,3.7,2.2,0.8,0.6,1.9,2.1,24.6,0.508,0.435,0.576,0.87,0.604
